,product_spu_name,product_picture,property
0,jason/捷森 低脂牛奶 240ml 德国进口,http://p1.meituan.net/sgopen/18c6fae4044b41910fd5aaa3f1b003bf78442.jpg,瓶装
1,【24盒】蒙牛特仑苏有机纯牛奶利乐梦幻盖250ml×24包,http://p0.meituan.net/xianfu/a016be57a13051a20a001b716b9ce5f448489.jpg,箱装
2,菊乐250ml纯牛奶,http://p0.meituan.net/xianfu/12c40a4415a2619fe9f8fe90f9a5eaed36608.jpg,盒装
3,伊利 利乐包纯牛奶250mL*16盒 /箱,http://p0.meituan.net/wmproduct/815e983175af669f4859f9222369b83377881.jpg,箱装
4,【整箱】伊利 营养纯牛奶小纯奶 250ml*24盒/箱,https://p0.meituan.net/xianfu/e4724d6cfcc2f23fc72ce841f20ed83d648921.jpg,箱装
5,整箱 蒙牛 小枕纯牛奶 240ml*16包/箱,http://p0.meituan.net/wmproduct/e21f584b8c9cd2f8dc53db9a85fa24f4228485.jpg,箱装
6,蒙牛脱脂纯牛奶250mL盒,http://p0.meituan.net/wmproduct/b43bbc7ba6bdba1c750811c3acbb3ae968588.jpg,盒装
7,伊利 利乐枕 纯牛奶 240ml*12包/箱,http://p0.meituan.net/xianfu/f9eab05cbe22de8b4eea5824940f1ab489799.jpg,箱装
8,蒙牛特仑苏有机纯牛奶梦幻盖250ml*10(白盒),http://p0.meituan.net/wmproduct/d8ee7dfdd231714f5269684e0912184c142867.jpg,箱装
9,天友百特 纯牛奶 250ml/盒,http://p0.meituan.net/xianfu/c487a3597536887eea60547d84694dca167808.jpg,盒装
10,年货节特仑苏 纯牛奶 250ml*10盒礼盒,http://p1.meituan.net/xianfu/f287dcb877d737488bbb23c903bf6e981383893.jpg,礼盒装
11,金典  纯牛奶250mlx12,http://p0.meituan.net/scproduct/e9cc66d48425530de535d9dbe82fb0ac267272.jpg,箱装
12,伊利乐枕高钙奶240ml,http://p1.meituan.net/xianfu/74af21a2237830ce1c7fbffa439e9696785716.jpg,袋装
13,蒙牛 脱脂奶 250ml/盒 250ml,http://p0.meituan.net/wmproduct/3f91e25faa4117b62637e81d46a2ce5387012.jpg,盒装
14,年货节蒙牛纯牛奶250ml*10盒,http://p0.meituan.net/wmproduct/990537ecdbac107e523da62c44e95ece134569.jpg,箱装
15,德亚全脂纯牛奶200ml【单盒】,http://p1.meituan.net/xianfu/0218bd07938f07f6a67ea55d9fe173ae523768.jpg,盒装
16,250G蒙牛特仑苏有机奶,https://p0.meituan.net/xianfu/dfbbf8c5a935a9f0a34a55fb4e8ed22d113257.png,盒装
17,瑞缘 纯牛奶 250mL/盒,http://p1.meituan.net/xianfu/11ec07e2bd7a32ea359d9955334549e038719.jpg,盒装
18,(Z)欧德堡 脱脂牛奶德国进口纯牛奶学生成人早餐奶 200ml/盒,http://p0.meituan.net/xianfu/6653a3597b71715f3390db94a84b95fc138052.jpg,盒装
19,三元 纯牛奶 全脂小白方 250ml/盒,http://p0.meituan.net/xianfu/37b5b8cf357eeed6bf46ead4a2d7e44d204573.jpg,盒装
20,纽麦福脱脂纯牛奶1升,http://p0.meituan.net/wmproduct/5c767117719e14b481e24392ecece9ef130647.jpg,盒装
21,特仑苏有机纯牛奶利乐梦幻盖（桃花源版）250ml*10/箱,http://p1.meituan.net/sgopen/efade0118102b5a41301cc637dde92a465368.jpg,箱装
22,【新年年货】伊利 金典纯牛奶甄选牧场早餐牛奶 250ml*12瓶/箱,http://p0.meituan.net/sgopen/eecb03c0430c11d0a2b43002d8a1d363228279.jpg,箱装
23,蒙牛特仑苏纯牛奶（梦幻盖）250ml*10盒,http://p0.meituan.net/sgopen/1ca3f1a51e69477535c130ecb4431d0f185308.jpg,箱装
24,蒙牛 纸袋纯牛奶240ml*16,https://p1.meituan.net/xianfu/73788776fa1efc7d188f5b3c2fc8313a92635.png,箱装
25,780ml伊利PET纯牛奶,https://p0.meituan.net/xianfu/efb88e3588bb5360509ba8faab096b7d226065.png,瓶装
26,特仑苏 脂灭菌乳利乐梦幻盖 0脂肪牛奶250ml*10包/箱,http://p0.meituan.net/xianfu/c9c426f87b3de9888f4d68b44c06211196026.jpg,箱装
27,圣牧 挚醇高端有机纯牛奶 250ml*12包/箱,http://p0.meituan.net/xianfu/474cbf45997b9a972159dfdf8c5bf8bb782975.jpg,箱装
28,蒙牛臻享特价29元/箱,http://p1.meituan.net/waimaidpoipicmining/7069362b0a30e4a2bf09948264737933112014.jpg,箱装
29,纯牛奶250毫升【伊利/蒙牛/光明随机发货】,http://p0.meituan.net/xianfu/c1b117596f9125a47d6498de59e2252f268288.jpg@200w,盒装
30,新希望雪兰苗条砖纯牛奶250ml,http://p1.meituan.net/xianfu/429f3b10554ec384ff1b599a257eacae89663.jpg,盒装
31,君乐宝 白小纯鲜纯牛奶新日期 180ml/袋,http://p0.meituan.net/xianfu/2ac210ba94ac7944529bee37eb15ef31132530.jpg,袋装
32,蒙牛特仑苏 纯牛奶 250ml/盒266066,http://p0.meituan.net/scproduct/369c2ee127e3c2ffc2bf5af76641510a89217.jpg,盒装
33,特仑苏 有机纯牛奶250毫升*10盒,http://p0.meituan.net/wmproduct/7e56074ff68e0b88d59bded6842b4b13550690.jpg,箱装
34,特仑苏 零脂肪 灭菌乳利乐梦幻盖 250ml*10包/箱,http://p0.meituan.net/xianfu/c9c426f87b3de9888f4d68b44c06211196026.jpg,箱装
35,欧德堡 全脂高蛋白纯牛奶 200ml*10盒/箱,http://p1.meituan.net/xianfu/0250a14ac953db01ae398576e498d507113662.jpg,箱装
36,金绿成 百利包全脂高钙纯牛奶 200g/袋,http://p0.meituan.net/xianfu/38cd9928012d434ebbd1d53a15605ff758062.jpg,袋装
37,纽仕兰牧场脱脂牛奶250ml*10（3.6g礼盒装）,http://p1.meituan.net/xianfu/806901bded012d777792ca884900627b745736.jpg,礼盒装
38,特仑苏脱脂灭菌乳利乐梦幻盖 250ml*10瓶/箱,http://p0.meituan.net/xianfu/eaa83f981fb7b4cacb242312c50440ec501580.jpg,箱装
39,伊利 金典纯牛奶 水 250ml/盒,http://p0.meituan.net/xianfu/55ce3d8b15f1b597d8918722bbea3052228421.jpg,盒装
40,三元纯牛奶250ml*24,http://p0.meituan.net/xianfu/cd6e98ed5a1df094bc8ce2c29c378ee324068.jpg,箱装
41,伊利 高钙纯牛奶 240ml*16袋/箱,http://p0.meituan.net/xianfu/b237b50ef96a16c33c266887eeab0b7e572017.jpg,箱装
42,蒙牛 特仑苏 有机纯牛奶 梦幻盖 250ml*10/盒,https://p0.meituan.net/xianfu/e7178210650acd3a4d0aaa8616ac8198227453.png,盒装
